Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality
trommehtron,trommehtron,,4,0,3856,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000182,0,0
JDefiant9,JDefiant9,,165,0,2265,0.0001,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
DemSkrals,DemSkrals,,165,0,3857,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
Willvs,Willvs,,289,280,3859,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
pantshee,pantshee,,289,280,3858,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
DoktorWhisky,DoktorWhisky,,165,0,3860,0.000092,0,1,1,0,1,1,3,0.5,0.611111,0,0,0,0,0
lillywhite,lillywhite,,55,0,1677,0.000114,1,0,1,1,0,1,0,0,0,0,0,0,0,0.002217
lilmissjanedoe,lilmissjanedoe,,288,279,3861,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
G2Play,G2Play,,90,0,3862,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
macheeze_,macheeze_,,4,0,3863,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000078,0.5,0
lexiingram,lexiingram,,165,0,3865,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000002,0,0
CanisLupus1365,CanisLupus1365,,290,281,3867,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
PoorQuentyn,PoorQuentyn,,290,281,3866,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
dieplstks,dieplstks,,4,0,1219,0.000108,1,0,1,1,0,1,0,0,0,0,0.000003,0,0,0.002217
ProZach,ProZach,,4,0,1216,0.000121,2,0,2,3,0,3,0,0,0,0,0.000231,0,0.5,0.003739
andrewjlockley,andrewjlockley,,4,0,3868,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
arfdude2D,arfdude2D,,4,0,3869,0.000092,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.014396,0,0
Missloyalty210,Missloyalty210,,4,0,3870,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.001908,0,0
gabriel10425139,gabriel10425139,,4,0,3871,0.000092,0,3,3,0,3,3,2,0.8,0.875,0,0,0.000037,0.333333,0
seaenemy,seaenemy,,4,0,2435,0.000152,2,0,2,2,0,2,0,0,0,0,0.000003,0,0.5,0.003392
TheHat2,TheHat2,,4,0,3872,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000009,0,0
xGrumpyOldManx,xGrumpyOldManx,,4,0,3873,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.001649,0,0
TakedownMRAs,TakedownMRAs,,165,0,284,0.000145,1,0,1,1,0,1,0,0,0,0,0,0,0,0.00339
TheeCyberBuIIy,TheeCyberBuIIy,,4,0,233,0.000288,1,1,2,1,1,2,8,0.18583,0.205662,0,0.000114,0.004186,0,0.040623
AnimeloverN7,AnimeloverN7,,4,0,3874,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000559,0,0
andrewcochell,andrewcochell,,4,0,3846,0.000118,1,1,2,1,1,2,1,1,1,0,0.000045,0.001089,0.5,0.001523
PoofTheFloof,PoofTheFloof,,4,0,1096,0.000112,1,0,1,1,0,1,0,0,0,0,0.000038,0,0,0.001523
realbuntyking,realbuntyking,,4,0,1095,0.000131,2,0,2,2,0,2,0,0,0,0,0.000628,0,0,0.003045
ERlCANDRE3000,ERlCANDRE3000,,291,282,3875,0.000267,2,2,4,2,2,4,1,1,1,0,0,0,1,0.004308
droiduck,droiduck,,291,282,3875,0.000206,1,1,2,1,1,2,1,1,1,0,0,0,0,0.00235
ColeKinghorn,ColeKinghorn,,4,0,3876,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.007894,0,0
CoachRedPill,CoachRedPill,,4,0,3766,0.000108,1,0,1,1,0,1,0,0,0,0,0.000046,0,0,0.001523
joslyn,joslyn,,4,0,1218,0.000108,1,0,1,1,0,1,0,0,0,0,0.000003,0,0,0.002217
Amphy64,Amphy64,,292,283,3878,0.000092,0,1,1,0,1,1,1,1,1,0,0,0,0,0
LiseMeitner4,LiseMeitner4,,292,283,3877,0.00017,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
LilliShep,LilliShep,,4,0,3879,0.000092,0,2,2,0,2,2,1,1,1,0,0,0.000078,0.5,0
buffer_01,buffer_01,,4,0,3880,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.001089,0,0
GenDovinBaan,GenDovinBaan,,293,284,3881,0.000431,1,2,3,3,8,11,1,1,1,0,0,0,1,0.00235
MackenzieBaph,MackenzieBaph,,293,284,3881,0.000797,2,2,4,5,6,11,1,1,1,0,0,0,0.5,0.004308
AbactiusAnima,AbactiusAnima,,293,284,3881,0.000614,2,1,3,7,1,8,2,0.666667,0.75,0,0,0,1,0.004308
Small_and_Quiet,Small_and_Quiet,,4,0,3882,0.000092,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.014396,0,0
