,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
107,Boogie2988,Deceptive_Games,35.4918386,-92.0315666,52.1306607,-3.7837117,,,,,,
108,Boogie2988,redlianak,35.4918386,-92.0315666,43.653226,-79.3831843,,,,,,
109,redlianak,Boogie2988,43.653226,-79.3831843,35.4918386,-92.0315666,,,,,,
110,docfreeride,Ryan_B_Anderson,37.8271784,-122.2913078,35.1982836,-111.651302,,,,,,
111,Ryan_B_Anderson,docfreeride,35.1982836,-111.651302,37.8271784,-122.2913078,,,,,,
112,docfreeride,Spacekatgal,37.8271784,-122.2913078,42.3600825,-71.0588801,,,,,,
113,Spacekatgal,docfreeride,42.3600825,-71.0588801,37.8271784,-122.2913078,,,,,,
114,docfreeride,nberlat,37.8271784,-122.2913078,41.8781136,-87.6297982,,,,,,
115,nberlat,docfreeride,41.8781136,-87.6297982,37.8271784,-122.2913078,,,,,,
116,ClaraJeffery,docfreeride,41.1398704,-112.0281318,37.8271784,-122.2913078,,,,,,
117,Spacekatgal,Ryan_B_Anderson,42.3600825,-71.0588801,35.1982836,-111.651302,,,,,,
118,MylesBorins,EmilyGorcenski,40.7127753,-74.0059728,38.0293059,-78.4766781,,,,,,
119,EmilyGorcenski,MylesBorins,38.0293059,-78.4766781,40.7127753,-74.0059728,,,,,,
120,Spacekatgal,MylesBorins,42.3600825,-71.0588801,40.7127753,-74.0059728,,,,,,
121,willsommer,MylesBorins,38.9071923,-77.0368707,40.7127753,-74.0059728,,,,,,
122,UnburntWitch,MylesBorins,38.898514,-77.010664,40.7127753,-74.0059728,,,,,,
123,sarahmei,MylesBorins,37.7749295,-122.4194155,40.7127753,-74.0059728,,,,,,
124,katrosenfield,jessesingal,41.6032207,-73.087749,42.3600825,-71.0588801,,,,,,
125,jessesingal,katrosenfield,42.3600825,-71.0588801,41.6032207,-73.087749,,,,,,
126,katrosenfield,nberlat,41.6032207,-73.087749,41.8781136,-87.6297982,,,,,,
127,katrosenfield,CathyYoung63,41.6032207,-73.087749,40.0583238,-74.4056612,,,,,,
128,CathyYoung63,katrosenfield,40.0583238,-74.4056612,41.6032207,-73.087749,,,,,,
129,jessesingal,sivavaid,42.3600825,-71.0588801,37.4315734,-78.6568942,,,,,,
130,jessesingal,Spacekatgal,42.3600825,-71.0588801,42.3600825,-71.0588801,,,,,,
131,Spacekatgal,jessesingal,42.3600825,-71.0588801,42.3600825,-71.0588801,,,,,,
132,jessesingal,stranahan,42.3600825,-71.0588801,38.9071923,-77.0368707,,,,,,
133,jessesingal,ChrisCaesar,42.3600825,-71.0588801,NA,NA,,,,,,
134,ChrisCaesar,jessesingal,NA,NA,42.3600825,-71.0588801,,,,,,
135,jessesingal,willsommer,42.3600825,-71.0588801,38.9071923,-77.0368707,,,,,,
136,willsommer,jessesingal,38.9071923,-77.0368707,42.3600825,-71.0588801,,,,,,
137,jessesingal,HKesvani,42.3600825,-71.0588801,51.5073509,-0.1277583,,,,,,
138,jessesingal,smenor,42.3600825,-71.0588801,33.791638,-84.389488,,,,,,
139,jessesingal,HashtagGriswold,42.3600825,-71.0588801,40.5922619,-82.1905578,,,,,,
140,UnburntWitch,jessesingal,38.898514,-77.010664,42.3600825,-71.0588801,,,,,,
141,jessesingal,ClaraJeffery,42.3600825,-71.0588801,41.1398704,-112.0281318,,,,,,
142,ClaraJeffery,jessesingal,41.1398704,-112.0281318,42.3600825,-71.0588801,,,,,,
143,jessesingal,redlianak,42.3600825,-71.0588801,43.653226,-79.3831843,,,,,,
144,jessesingal,CathyYoung63,42.3600825,-71.0588801,40.0583238,-74.4056612,,,,,,
145,CathyYoung63,jessesingal,40.0583238,-74.4056612,42.3600825,-71.0588801,,,,,,
146,UnburntWitch,seb_ly,38.898514,-77.010664,43.1222716,-77.5734048,,,,,,
147,EmilyGorcenski,sivavaid,38.0293059,-78.4766781,37.4315734,-78.6568942,,,,,,
148,EmilyGorcenski,Spacekatgal,38.0293059,-78.4766781,42.3600825,-71.0588801,,,,,,
149,Spacekatgal,EmilyGorcenski,42.3600825,-71.0588801,38.0293059,-78.4766781,,,,,,
150,EmilyGorcenski,ChrisCaesar,38.0293059,-78.4766781,NA,NA,,,,,,
151,EmilyGorcenski,sarahmei,38.0293059,-78.4766781,37.7749295,-122.4194155,,,,,,
152,sarahmei,EmilyGorcenski,37.7749295,-122.4194155,38.0293059,-78.4766781,,,,,,
153,EmilyGorcenski,pinkness,38.0293059,-78.4766781,38.898514,-77.010664,,,,,,
154,pinkness,EmilyGorcenski,38.898514,-77.010664,38.0293059,-78.4766781,,,,,,
155,Luceobrien,Spacekatgal,-33.8982661,151.2040571,42.3600825,-71.0588801,,,,,,
156,Luceobrien,russpitts,-33.8982661,151.2040571,33.791638,-84.389488,,,,,,
157,russpitts,Luceobrien,33.791638,-84.389488,-33.8982661,151.2040571,,,,,,
158,Luceobrien,mistertodd,-33.8982661,151.2040571,-43.526192,172.630302,,,,,,
159,mistertodd,Luceobrien,-43.526192,172.630302,-33.8982661,151.2040571,,,,,,
160,Luceobrien,crecenteb,-33.8982661,151.2040571,40.7127753,-74.0059728,,,,,,
