,user_id,in_reply_to_user_id
4044,225943521,27577576
4045,16106584,16106584
4049,427616106,1135011900
4052,17844548,427619040
4072,8.33E+17,27577576
4077,909450656,909450656
4081,14995633,14995633
4090,3829135103,3723342375
4091,2778280431,118764942
4093,3190471032,3849184163
4101,8038532,393885443
4112,343600277,343600277
4127,8.80E+17,25073877
4128,8.70E+17,19217369
4134,909450656,909450656
4135,909450656,909450656
4138,17097703,310590377
4140,2975073528,2951963678
4146,7.55E+17,9.07E+17
4154,29155260,112614146
4156,112614146,29155260
4157,91268492,2951963678
4166,8.91E+17,7.98E+17
4195,8.91E+17,8.91E+17
4201,426525328,223160443
4204,8.37E+17,56768257
4215,8.63E+17,7.60E+17
4220,7.06E+17,7.06E+17
4246,184310053,604940737
4265,3091596568,604940737
4275,8.84E+17,8.84E+17
4306,2846136124,8.29E+17
4307,3106787658,8.29E+17
4352,9.10E+17,7.71E+17
4354,9.10E+17,56768257
4372,601425440,7.17E+17
4378,4429531393,9.13E+17
4390,20397734,8119452
4453,8.75E+17,14902339
4465,1578314317,1578314317
4501,42345999,27577576
4506,212636771,4726207589
4524,8.96E+17,7.79E+17
4532,2693394814,42345999
4539,4032375982,4032375982
4566,2311435027,35231502
4569,61512352,19217369
4573,19217369,19217369
4583,3107789626,456905460
4602,2858665159,289741323
4606,9.00E+17,1852899224
4608,8.81E+17,2846136124
4615,2858665159,2858665159
4645,801745064,801745064
4656,2663856654,2663856654
4669,3422978644,85686980
4673,2858665159,2858665159
4685,426525328,2272550041
4698,3270512030,1104637219
4706,2858665159,31062489
4715,7.17E+17,601425440
4736,9.02E+17,9.02E+17
4750,3795286092,9.02E+17
4756,8.07E+17,3095056821
4759,2896596373,112614146
4772,3362765434,65260792
4779,8.93E+17,42345999
4786,8.70E+17,28265608
4787,2321698795,3402210893
4801,198687436,525658038
4826,27577576,42345999
4830,930376591,930376591
4834,930376591,190441781
4839,18252291,20965586
4845,2610981608,2610981608
4855,15412328,604940737
4858,8.37E+17,32677335
4872,3350426764,983582880
4882,81976754,8.04E+17
4898,1327092974,304798916
4899,7.25E+17,2272550041
4900,2833820049,42345999
4903,7.08E+17,7.08E+17
4917,2846136124,2259122479
4925,1231914007,42345999
4929,289741323,42345999
4940,2512973712,42345999
4942,8.54E+17,42345999
4943,160968221,2951963678
4949,194248178,42345999
4950,9.02E+17,2272550041
4951,31062489,42345999
4958,28597450,42345999
4961,2272550041,42345999
4964,9.17E+17,42345999
4966,496388723,42345999
4968,226873959,42345999
4975,18252291,20965586
4988,7.56E+17,7.44E+17
5020,159226004,4571328341
5024,8.76E+17,3071892465
5052,601425440,3826069372
5060,2811434719,9.13E+17
5062,102600230,604940737
5063,4214916976,154221292
5080,30958678,30958678
5092,9.25E+17,7.01E+17
5104,9.13E+17,4095057792
5109,2327598245,1730223295
5121,8.72E+17,2319408132
5123,3826069372,3253153189
5147,412384946,2951963678
5148,9.08E+17,4716938490
5151,1247873534,8.88E+17
5173,7.28E+17,4571328341
5175,4571328341,4571328341
5177,2345495018,8.65E+17
5221,175472962,2951963678
5232,2208135154,1730499012
5234,4253636897,2951963678
5256,1104637219,2793536181
5265,306307786,1483064670
5275,4716938490,4716938490
5284,9.02E+17,8.52E+17
5286,4716938490,4716938490
5288,4716938490,4716938490
5292,4716938490,4716938490
5318,1705225754,1705225754
5331,2351889769,2322866384
5333,117615372,28265608
5355,4641344609,4641344609
5410,8.96E+17,8.21E+17
5422,1480412432,19313066
5445,272269416,18573485
5505,34629487,17264476
5517,281877818,248306279
5541,906936578,7.59E+17
5547,28597450,28597450
5549,177977500,1187330941
5550,3717610816,9.26E+17
5553,28597450,8.78E+17
5557,9.25E+17,8.06E+17
5561,8.52E+17,2846136124
5565,8.92E+17,7.13E+17
5567,7.86E+17,424806929
5572,8.92E+17,2474023578
5573,1544528599,8.92E+17
5577,21114693,21114693
5613,8.80E+17,18643437
5620,175472962,2757793657
5632,2272138994,16459325
5634,14168196,127955093
5635,16102815,16102815
5649,9.18E+17,9.03E+17
5658,160968221,166240143
5672,9.15E+17,8.66E+17
5687,395608255,14059411
5688,2497064084,7.14E+17
5690,7.32E+17,9.26E+17
5695,1293377058,1293377058
5705,7.37E+17,8.98E+17
5739,1480412432,604940737
5741,1480412432,604940737
5800,2189179524,1030024322
5804,8.73E+17,586357338
5843,3455934808,88001676
5852,8.67E+17,2913722920
5859,20965586,47475039
5861,2189179524,2951963678
5870,2951963678,7.75E+17
5878,2189179524,2951963678
5923,8.76E+17,2951963678
5965,9.01E+17,112614146
5974,993543378,16106584
5984,8.41E+17,7.01E+17
5989,8.14E+17,16106584
5996,2778280431,287492573
6006,329531410,563015011
6037,20456716,2915897287
6042,30342264,71000830
6053,7.57E+17,16106584
6054,470043382,238674647
6068,2767843313,8.11E+17
6076,2571342366,14467170
6092,7.40E+17,16106584
6093,7.40E+17,811389079
6096,414528899,8.98E+17
6104,14467170,2571342366
6139,7.05E+17,1645794463
6141,1023562501,1023562501
6144,906365126,78724476
6157,50573579,56768257
6158,9.19E+17,9.19E+17
6162,498270659,498270659
6170,11462742,27869564
6174,3245567998,4124503756
6191,15427412,18710668
6221,80800433,85686980
6232,2870315974,88001676
6235,1120637424,2677927273
6255,15035654,14745740
6262,2313872880,2313872880
6263,1343521758,4852057059
6264,327063041,14745740
6267,2313872880,2313872880
6268,4852057059,120922686
6269,120922686,4852057059
6274,46864848,2148747698
6277,8.32E+17,8.73E+17
6283,299302538,16106584
6289,20037702,20037702
6296,299302538,299302538
6315,3010312991,3010312991
6359,8.12E+17,8.12E+17
6361,8.48E+17,364814717
6366,7.18E+17,23570363
6370,2814040284,2814040284
