Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,Code,Language,
DaleInnis,DaleInnis,,4,0,640,0.000092,#N/A,Other,3409
ksemamajama,ksemamajama,,4,0,639,0.000112,#N/A,Other,3409
primalpoly,primalpoly,,4,0,638,0.000206,#N/A,Other,3409
Noahpinion,Noahpinion,,4,0,637,0.00032,en,English,1363
MistahOso,MistahOso,,4,0,459,0.000129,en,English,1363
ithorn00,ithorn00,,4,0,641,0.000092,en,English,1363
ShwayNorris,ShwayNorris,,4,0,642,0.000092,en,English,1363
RobertNiedan,RobertNiedan,,4,0,643,0.000092,en,English,1363
davidjackeli,davidjackeli,,4,0,461,0.000171,en,English,1363
RottenThought,RottenThought,,4,0,644,0.000092,de,German,31
